drinkID	alkGlowny
alexander	brandy
americano	inny
angelface	gin
armageddon	rum
aviation	gin
b52	inny
barracuda	vodka
beesknees	whiskey
bellini	gin
bemylover	brandy
betweenthesheets	rum
billiejean	vodka
blackrussian	rum
bloodymary	gin
bluepinacolada	gin
boombastic	gin
bornintheusa	vodka
boulevardier	rum
bramble	rum
brandycrusta	rum
caipirinha	gin
caipiroska	vodka
canchanchara	inny
captainjack	brandy
casino	vodka
casinoroyale	gin
castaway	inny
champagnecocktail	inny
cloverclub	gin
cocoextasy	rum
coolnight	brandy
corpsereviver2	tequilamez
cosmopolitan	whiskey
costamesa	inny
cottoneyejoe	gin
cruelsummer	inny
cubalibre	champagne
czasapokalipsy	gin
daiquiri	vodka
darknstormy	rum
devilinside	rum
dirtydancing	whiskey
drymartini	tequilamez
dzidzi	whiskey
easylover	gin
espressomartini	rum
eternalflame	champagne
eyeofthetiger	whiskey
fernandito	rum
firestarter	gin
footloose	vodka
freestyler	tequilamez
french75	gin
frenchconnection	whiskey
frenchmartini	rum
gangstaparadise	whiskey
ginfizz	tequilamez
goldendream	whiskey
grasshopper	gin
gromwraju	whiskey
groundzero	rum
hankypanky	inny
heartbreaker	rum
hemingwayspecial	brandy
horsesneck	inny
illegal	gin
invisibleman	champagne
irishcoffee	vodka
jacuzi	whiskey
johncollins	brandy
johnybravo	vodka
joyride	vodka
kamikaze	champagne
kir	brandy
kirroyal	gin
kiwidaiquiri	gin
labamba	vodka
laislabonita	inny
lastword	brandy
lemondropmartini	brandy
letsdance	tequilamez
littlerock	champagne
longislandicetea	inny
lowcaandroidow	tequilamez
maitai	whiskey
manhattan	gin
maninthemirror	inny
margarita	whiskey
margaritatruskawkowa	gin
marktwaincoctail	vodka
martinez	rum
marypickford	rum
miamivice	brandy
miamivice	gin
mimosa	brandy
mimosa	rum
mintjulep	champagne
mintjulep	whiskey
mojito	gin
mojito	champagne
mojitozogorkiemiimbirem	brandy
mojitozogorkiemiimbirem	whiskey
monkeygland	vodka
moscowmule	inny
mrocznyrycerz	vodka
mudslide	vodka
nakedandfamous	vodka
negroni	vodka
newyorksour	vodka
nosferatu	vodka
novemberrain	vodka
oceanside	vodka
oldcuban	vodka
oldfashioned	vodka
oldfield	vodka
oneofus	vodka
oneonone	vodka
palmbay	vodka
paloma	vodka
paperplane	vodka
paradise	vodka
paradisecity	vodka
parttimelover	vodka
penicillin	vodka
pigwowekamikaze	vodka
pinacolada	vodka
piscosour	vodka
planterspunch	vodka
portoflip	vodka
privatedancer	vodka
puccini	vodka
ramosfizz	vodka
readyornot	vodka
redfruitmojito	vodka
renegat	vodka
riverside	vodka
rossini	vodka
runawaytrain	vodka
russianspringpunch	vodka
rustynail	vodka
sambadejaneiro	vodka
satisfaction	vodka
sazerac	vodka
seabreeze	vodka
sexonthebeach	vodka
sidecar	vodka
sincity	vodka
singaporesling	vodka
slonecznypatrol	vodka
smellsliketeenspirit	vodka
smoothcriminal	rum
southpark	rum
southside	rum
spicyfifty	rum
spritz	rum
standbyme	rum
stepbystep	rum
stinger	rum
streetsofphiladelphia	rum
sufferingbastard	rum
summerjam	rum
tearsinheaven	inny
tequilasunrise	tequilamez
terazpolska	rum
thetimeofmylife	rum
tintoretto	rum
tipperary	rum
tommysmargarita	rum
touchme	rum
toysoldier	rum
trinidadsour	gin
tuxedo	gin
twinpeaks	gin
twoprincess	gin
underthebridge	gin
underthebridge	vodka
upiorwoperze	gin
vento	gin
vesper	gin
vieuxcarre	gin
viper	gin
wakabayashi	gin
walkoflife	tequilamez
whiskeysour	tequilamez
whitelady	tequilamez
whiterussian	tequilamez
windofchange	tequilamez
wscieklypies	tequilamez
yattaman	inny
yellowbird	inny
zabojczabron	inny
zabojczynumer	inny
zartropikow	inny
zombie	inny
lemoniadacytrynowa	inny
lemoniadazmieta	inny
lemoniadatruskawkowa	inny
lemoniadaarbuzowa	inny
lemoniadamalinowa	inny
