drinkID	skladnikID	skladIlosc	skladMiara	skladNotka	skladOpcja
alexander	koniak	30	ml		0
alexander	likierkakaowy	30	ml		0
alexander	smietana	30	ml		0
alexander	lodwkostkach				0
alexander	galkamuszkatalowa				1
americano	campari	30	ml		0
americano	vermouthslodkiczerwony	30	ml		0
americano	wodasodowa		odrobina		0
americano	lodwkostkach				0
americano	cytryna				1
americano	pomarancza				1
angelface	apricotbrandy	30	ml		0
angelface	calvados	30	ml		0
angelface	gin	30	ml		0
angelface	lodwkostkach				0
armageddon	grenadyna	20	ml		0
armageddon	sokzcytryny	25	ml		0
armageddon	malibou	30	ml		0
armageddon	rumbialy	50	ml		0
armageddon	sokpomaranczowy	100	ml		0
armageddon	sokzmango	100	ml		0
armageddon	lodwkostkach				0
aviation	likierfiolkowy	15	ml		0
aviation	likiermaraschino	15	ml		0
aviation	sokzcytryny	15	ml		0
aviation	gin	45	ml		0
aviation	lodwkostkach				0
aviation	wisniakoktailowa				1
b52	baileys	15	ml		0
b52	likierkawowy	15	ml		0
b52	cointreau	15	ml		0
barracuda	prosecco		dopelnienie	do dopełnienia	0
barracuda	sokzlimonki	1	kropla		0
barracuda	likiergalliano	15	ml		0
barracuda	rumciemny	45	ml		0
barracuda	sokzananasa	60	ml		0
barracuda	lodwkostkach				0
barracuda	ananas				1
barracuda	mieta				1
barracuda	wisnia				1
beesknees	syropzmiodu	10	ml		0
beesknees	gin	52.5	ml		0
beesknees	sokpomaranczowy	22.5	ml		0
beesknees	sokzcytryny	22.5	ml		0
beesknees	lodwkostkach				0
beesknees	cytryna				1
beesknees	pomarancza				1
bellini	purezbrzoskwini	50	ml		0
bellini	prosecco	100	ml		0
bellini	lodwkostkach				0
bemylover	sprite		dopelnienie	do dopełnienia	0
bemylover	kiwi	70	gr	jeden owoc	0
bemylover	imbir	1	kawalek		0
bemylover	sokzcytryny	10	ml		0
bemylover	gin	50	ml		0
bemylover	lodwkostkach				0
betweenthesheets	sokzcytryny	20	ml		0
betweenthesheets	koniak	30	ml		0
betweenthesheets	rumbialy	30	ml		0
betweenthesheets	triplesec	30	ml		0
billiejean	likiercuracao	20	ml		0
billiejean	sokpomaranczowy	30	ml		0
billiejean	wodka	100	ml		0
billiejean	lodkruszony				0
blackrussian	likierkawowy	20	ml		0
blackrussian	wodka	50	ml		0
bloodymary	pieprz		szczypta	do smaku	0
bloodymary	sosworcestershire	2	kropla		0
bloodymary	sokzcytryny	15	ml		0
bloodymary	wodka	45	ml		0
bloodymary	sokzpomidorow	90	ml		0
bloodymary	solselerowa		szczypta		0
bloodymary	tabasco		szczypta		0
bloodymary	cytryna				1
bloodymary	seler				1
bluepinacolada	likiercuracao	20	ml		0
bluepinacolada	syropkokosowy	20	ml		0
bluepinacolada	mleczkoskond	70	ml		0
bluepinacolada	rumbialy	100	ml		0
bluepinacolada	sokzananasa	200	ml		0
bluepinacolada	lodwkostkach				0
boombastic	mieta		listek	4 listki	0
boombastic	sprite		dopelnienie	do dopełnienia	0
boombastic	pomarancza	1	kawalek	plaster	0
boombastic	likiermalinowy	50	ml		0
boombastic	lodwkostkach				0
bornintheusa	likiercuracao	50	ml		0
bornintheusa	rumbialy	50	ml		0
bornintheusa	sokzgrejpfruta	70	ml		0
bornintheusa	lodwkostkach				0
boulevardier	campari	30	ml		0
boulevardier	vermouthslodkiczerwony	30	ml		0
boulevardier	bourbon	45	ml		0
boulevardier	cytryna				1
boulevardier	pomarancza				1
bramble	syropcukrowy	12.5	ml		0
bramble	likierjezynowy	15	ml		0
bramble	sokzcytryny	25	ml		0
bramble	gin	50	ml		0
bramble	cytryna				1
bramble	jezyny				1
brandycrusta	angosturabitters	2	kropla		0
brandycrusta	syropcukrowy	5	ml		1
brandycrusta	likiermaraschino	7.5	ml		0
brandycrusta	likiercuracao	15	ml		0
brandycrusta	sokzcytryny	15	ml		0
brandycrusta	syropcukrowy	15	ml		0
brandycrusta	brandy	52.5	ml		0
brandycrusta	cytryna				1
brandycrusta	pomarancza				1
caipirinha	limonka	1	kawalek	mały	0
caipirinha	cukierbialy	20	gr		0
caipirinha	cachaca	60	ml		0
caipiroska	limonka	1	kawalek	mały	0
caipiroska	cukiertrzcinowy	10	gr		0
caipiroska	wodka	60	ml		0
canchanchara	miod	15	ml		0
canchanchara	sokzlimonki	15	ml		0
canchanchara	woda	50	ml		0
canchanchara	rumbialy	60	ml		0
canchanchara	limonka				1
captainjack	kawa	45	ml		0
captainjack	malibou	50	ml		0
captainjack	mleczkoskond	100	ml		0
captainjack	lodwkostkach				0
casino	orangebitters	2	kropla		0
casino	likiermaraschino	10	ml		0
casino	sokzcytryny	10	ml		0
casino	gin	40	ml		0
casino	cytryna				1
casino	wisniakoktailowa				1
casinoroyale	likiercuracao	30	ml		0
casinoroyale	wodka	50	ml		0
casinoroyale	sokpomaranczowy	100	ml		0
casinoroyale	lodwkostkach				0
castaway	likiercuracao	20	ml		0
castaway	sokzjablek	50	ml		0
castaway	wodkacytrynowa	50	ml		0
castaway	sokzgrejpfruta	100	ml		0
castaway	lodwkostkach		ml		0
champagnecocktail	likiergrandmarnier		kropla	kilka kropli	1
champagnecocktail	szampan	90	ml	schłodzony	0
champagnecocktail	cukierbialywkostkach	1	kostka		0
champagnecocktail	angosturabitters	2	kropla		0
champagnecocktail	koniak	10	ml		0
champagnecocktail	pomarancza				1
champagnecocktail	wisniakoktailowa				1
cloverclub	jajko		kropla	białko kilka kropli	0
cloverclub	sokzcytryny	15	ml		0
cloverclub	syropzmalin	15	ml		0
cloverclub	gin	45	ml		0
cloverclub	maliny				1
cocoextasy	likiercuracao	30	ml		0
cocoextasy	malibou	40	ml		0
cocoextasy	syropbluecuracao	40	ml		0
cocoextasy	wodka	40	ml		0
cocoextasy	sokzananasa	120	ml		0
cocoextasy	lodwkostkach				0
coolnight	grenadyna	10	ml		0
coolnight	sokzcytryny	40	ml		0
coolnight	gin	100	ml		0
coolnight	lodwkostkach				0
corpsereviver2	absynt	1	kropla		0
corpsereviver2	cointreau	30	ml		0
corpsereviver2	gin	30	ml		0
corpsereviver2	lilletblanc	30	ml		0
corpsereviver2	sokzcytryny	30	ml		0
