drinkID	alkGlowny
alexander	brandy
americano	inne
angelface	gin
armageddon	rum
aviation	gin
b52	inne
barracuda	vodka
beesknees	whiskey
bellini	gin
bemylover	brandy
betweenthesheets	rum
billiejean	vodka
blackrussian	rum
bloodymary	gin
bluepinacolada	gin
boombastic	gin
bornintheusa	vodka
boulevardier	rum
bramble	rum
brandycrusta	rum
caipirinha	gin
caipiroska	vodka
canchanchara	inne
captainjack	brandy
casino	vodka
casinoroyale	gin
castaway	inne
champagnecocktail	inne
cloverclub	gin
cocoextasy	rum
coolnight	brandy
corpsereviver2	tequilaMez
cosmopolitan	whiskey
costamesa	inne
cottoneyejoe	gin
cruelsummer	inne
cubalibre	szampan
czasapokalipsy	gin
daiquiri	vodka
darknstormy	rum
devilinside	rum
dirtydancing	whiskey
drymartini	tequilaMez
dzidzi	whiskey
easylover	gin
espressomartini	rum
eternalflame	szampan
eyeofthetiger	whiskey
fernandito	rum
firestarter	gin
footloose	vodka
freestyler	tequilaMez
french75	gin
frenchconnection	whiskey
frenchmartini	rum
gangstaparadise	whiskey
ginfizz	tequilaMez
goldendream	whiskey
grasshopper	gin
gromwraju	whiskey
groundzero	rum
hankypanky	inne
heartbreaker	rum
hemingwayspecial	brandy
horsesneck	inne
illegal	gin
invisibleman	szampan
irishcoffee	vodka
jacuzi	whiskey
johncollins	brandy
johnybravo	vodka
joyride	vodka
kamikaze	szampan
kir	brandy
kirroyal	gin
kiwidaiquiri	gin
labamba	vodka
laislabonita	inne
lastword	brandy
lemondropmartini	brandy
letsdance	tequilaMez
littlerock	szampan
longislandicetea	inne
lowcaandroidow	tequilaMez
mai-tai	whiskey
manhattan	gin
maninthemirror	inne
margarita	whiskey
margaritatruskawkowa	gin
marktwaincoctail	vodka
martinez	rum
marypickford	rum
miamivice	brandy
miamivice	gin
mimosa	brandy
mimosa	rum
mintjulep	szampan
mintjulep	whiskey
mojito	gin
mojito	szampan
mojitozogorkiemiimbirem	brandy
mojitozogorkiemiimbirem	whiskey
monkeygland	vodka
moscowmule	inne
mrocznyrycerz	vodka
mudslide	vodka
nakedandfamous	vodka
negroni	vodka
newyorksour	vodka
nosferatu	vodka
novemberrain	vodka
oceanside	vodka
oldcuban	vodka
oldfashioned	vodka
oldfield	vodka
oneofus	vodka
oneonone	vodka
palmbay	vodka
paloma	vodka
paperplane	vodka
paradise	vodka
paradisecity	vodka
parttimelover	vodka
penicillin	vodka
pigwowekamikaze	vodka
pinacolada	vodka
piscosour	vodka
planterspunch	vodka
portoflip	vodka
privatedancer	vodka
puccini	vodka
ramosfizz	vodka
readyornot	vodka
redfruitmojito	vodka
renegat	vodka
riverside	vodka
rossini	vodka
runawaytrain	vodka
russianspringpunch	vodka
rustynail	vodka
sambadejaneiro	vodka
satisfaction	vodka
sazerac	vodka
seabreeze	vodka
sexonthebeach	vodka
sidecar	vodka
sincity	vodka
singaporesling	vodka
slonecznypatrol	vodka
smellsliketeenspirit	vodka
smoothcriminal	rum
southpark	rum
southside	rum
spicyfifty	rum
spritz	rum
standbyme	rum
stepbystep	rum
stinger	rum
streetsofphiladelphia	rum
sufferingbastard	rum
summerjam	rum
tearsinheaven	inne
tequilasunrise	tequilaMez
terazpolska	rum
thetimeofmylife	rum
tintoretto	rum
tipperary	rum
tommysmargarita	rum
touchme	rum
toysoldier	rum
trinidadsour	gin
tuxedo	gin
twinpeaks	gin
twoprincess	gin
underthebridge	gin
underthebridge	vodka
upiorwoperze	gin
vento	gin
vesper	gin
vieuxcarrè	gin
viper	gin
wakabayashi	gin
walkoflife	tequilaMez
whiskeysour	tequilaMez
whitelady	tequilaMez
whiterussian	tequilaMez
windofchange	tequilaMez
wscieklypies	tequilaMez
yattaman	inne
yellowbird	inne
zabojczabron	inne
zabojczynumer	inne
zartropikow	inne
zombie	inne
