Kolory	SklKat	Miary	DrSzklo	DrSlodycz	TakNie	DrZrodlo	DralkGlownyKat	DrKat
Bezbarwny	Alkohol	ml	koktailowy	Nie Słodki	1	Własne	whiskey	koktail
Biały	Likiery	gr	whiskey	Lekko Słodki	0	IBA Niezapomniane	tequilaMez	shot
Czarny	Wino	odrobina	collins	Słodki		IBA Klasyki	rum	inne
Szary	Soki	kropla	szampan	Bardzo Słodki		IBA Nowa Era	vodka	
Brązowy	Syropy	szczypta	oldFashioned	Brak Danych		Przepisy na proste drinki	brandy	
Beżowy	Owoce	kawalek	wino			Wikipedia	gin	
Czerwony	Przyprawy	kostka	margarita			Internet	szampan	
Pomarańczowy	Inne	galazka	kieliszek			AI	inne	
Żółty		listek						
Zielony		sztuka						
Turkusowy		ćwiartka						
Niebieski		pół						
Fioletowy		dopelnienie						
Różowy		owoc						
Różnokolorowy		plaster						
