skladnikID	zamiennikID
amaretto	likierorzechowy
angosturabitters	orangebitters
aperol	campari
apricotbrandy	brandy
apricotbrandy	koniak
benedictine	brandy
bourbon	irishwhiskey
bourbon	scotchwhiskey
bourbon	whiskey
brandy	apricotbrandy
brandy	koniak
cachaca	rumbialy
cachaca	rumciemny
calvados	brandy
campari	aperol
cointreau	triplesec
cukierbialy	cukierbialywkostkach
cukierbialy	cukiertrzcinowy
cukierbialy	cukiertrzcinowywkostkach
cukierbialy	syropcukrowy
cukierbialywkostkach	cukierbialy
cukierbialywkostkach	cukiertrzcinowy
cukierbialywkostkach	cukiertrzcinowywkostkach
cukierbialywkostkach	syropcukrowy
cukiertrzcinowy	cukierbialy
cukiertrzcinowy	cukierbialywkostkach
cukiertrzcinowy	cukiertrzcinowywkostkach
cukiertrzcinowy	syropcukrowy
cukiertrzcinowywkostkach	cukierbialy
cukiertrzcinowywkostkach	cukierbialywkostkach
cukiertrzcinowywkostkach	cukiertrzcinowy
cukiertrzcinowywkostkach	syropcukrowy
gin	wodka
gingerale	piwoimbirowe
grenadyna	sokzgranatu
grenadyna	syropzmalin
irishwhiskey	bourbon
irishwhiskey	scotchwhiskey
irishwhiskey	whiskey
koniak	brandy
likieramarononino	aperol
likieramarononino	campari
likiercuracao	cointreau
likierdombenedictine	likiergreenchartreuse
likiergrandmarnier	cointreau
likiergrandmarnier	triplesec
likierjezynowy	likiermalinowy
likierjezynowy	likierzczarnejporzeczki
likiermalinowy	likierjezynowy
likiermalinowy	likierzczarnejporzeczki
likiermaraschino	likierwisniowy
likierorzechowy	amaretto
likierwisniowy	likiermalinowy
likierwisniowy	likierzczarnejporzeczki
likierzczarnejporzeczki	likierjezynowy
likierzczarnejporzeczki	likiermalinowy
lilletblanc	aperol
lilletblanc	vermouthwytrawny
lodduzakostka	lodkruszony
lodduzakostka	lodwkostkach
lodkruszony	lodduzakostka
lodkruszony	lodwkostkach
lodwkostkach	lodduzakostka
lodwkostkach	lodkruszony
meskal	tequila
miod	syropklonowy
orangebitters	angosturabitters
papryczkachili	tabasco
peachschnapps	likierbrzoskwiniowy
peychaudsbitters	angosturabitters
pinkgrapefruitsoda	sokzgrejpfruta
prosecco	szampan
rumbialy	cachaca
rumbialy	gin
rumbialy	wodka
rumciemny	bourbon
rumciemny	brandy
scotchwhiskey	bourbon
scotchwhiskey	irishwhiskey
scotchwhiskey	whiskey
sokpomaranczowy	sokzcytryny
sokpomaranczowy	sokzmandarynki
sokzananasa	sokpomaranczowy
sokzcytryny	sokzlimonki
sokzcytryny	sokpomaranczowy
sokzgrejpfruta	sokzcytryny
sokzgrejpfruta	sokpomaranczowy
sokzlimonki	sokpomaranczowy
sokzlimonki	sokzcytryny
sokzmandarynki	sokzcytryny
sokzmandarynki	sokpomaranczowy
sokzzurawiny	sokzgranatu
solselerowa	sol
sugarcanejuice	miod
syropcukrowy	cukierbialy
syropcukrowy	cukiertrzcinowy
syropcukrowy	cukierbialywkostkach
syropcukrowy	cukiertrzcinowywkostkach
syropdonnsmix	syropcukrowy
syropfalernum	syropmigdalowy
syropklonowy	syropzmiodu
syropzagawy	syropklonowy
syropzagawy	syropzmiodu
syropzbzu	syropzmalin
syropzmalin	syropztruskawek
syropzmalin	syropzurawinowy
syropzmiodu	syropklonowy
syropztruskawek	syropzmalin
syropzurawinowy	syropzmalin
syropzurawinowy	syropztruskawek
szampan	prosecco
tequila	cachaca
triplesec	cointreau
vermouthslodkiczerwony	porto
vermouthwytrawny	gin
whiskey	bourbon
whiskey	irishwhiskey
whiskey	scotchwhiskey
whitesmoothgrappa	brandy
whitesmoothgrappa	wodka
wodka	gin
wodka	rumbialy
wodka	wodkacytrynowa
